Team_Abbr,YDS/G,PTS/G,Passing,Rushing,Passing_Rank,Rushing_Rank,Total_Offense_Rank,Scoring_Rank,Pass_Friendly_Score,Rush_Friendly_Score,Offensive_Efficiency_2018,Offensive_Efficiency_2019,Offensive_Efficiency_2020,Offensive_Efficiency_2021,Offensive_Efficiency_2022,Offensive_Efficiency_2023,PTS/G_2018,PTS/G_2019,PTS/G_2020,PTS/G_2021,PTS/G_2022,PTS/G_2023,Pass_Run_Ratio_2018,Pass_Run_Ratio_2019,Pass_Run_Ratio_2020,Pass_Run_Ratio_2021,Pass_Run_Ratio_2022,Pass_Run_Ratio_2023,Passing_2018,Passing_2019,Passing_2020,Passing_2021,Passing_2022,Passing_2023,Rushing_2018,Rushing_2019,Rushing_2020,Rushing_2021,Rushing_2022,Rushing_2023,YDS/G_2018,YDS/G_2019,YDS/G_2020,YDS/G_2021,YDS/G_2022,YDS/G_2023,YDS/G_Recent,YDS/G_3YR_Avg,YDS/G_YoY_Change,YDS/G_Trend,PTS/G_Recent,PTS/G_3YR_Avg,PTS/G_YoY_Change,PTS/G_Trend,Pass_Run_Ratio_Recent,Pass_Run_Ratio_3YR_Avg,Pass_Run_Ratio_YoY_Change,Pass_Run_Ratio_Trend,Offense_Quality_Score,Offense_Stability
SEA,92.9,21.4,5490,322.9,21.0,21.0,28.0,17.0,9.899999999999999,9.899999999999999,16.71875,18.409090909090907,23.28767123287671,19.04532304725169,19.931439764936336,23.037974683544306,26.8,25.3,28.7,23.2,23.9,21.4,16.000566091140673,16.001602564102566,16.0,16.99907378820624,17.001422475106686,17.002167853824716,5653.0,5991.0,5912.0,5506.0,5976.0,5490.0,353.3,374.4,369.5,323.9,351.5,322.9,160.0,137.5,123.2,122.0,120.1,92.9,92.9,111.66666666666667,-27.19999999999999,-14.550000000001663,21.4,22.833333333333332,-2.5,-0.9000000000000913,17.002167853824716,17.00088803904588,0.000745378718029599,0.0015470328092400988,11.6,95.38815503680837
CIN,89.8,21.5,5422,318.9,22.0,22.0,31.0,16.0,8.299999999999999,8.299999999999999,21.87871581450654,18.391562294001318,18.64508393285372,26.406429391504016,27.356020942408378,23.968565815324165,23.0,17.4,19.4,27.1,26.1,21.5,15.997425997425998,15.998142989786443,15.997498436522827,16.998616874135546,16.0,17.0021950454688,4972.0,5169.0,5116.0,6145.0,5768.0,5422.0,310.8,323.1,319.8,361.5,360.5,318.9,105.1,94.8,104.3,102.5,95.5,89.8,89.8,95.93333333333334,-5.700000000000003,-6.350000000000826,21.5,24.900000000000002,-4.600000000000001,-2.8000000000003338,17.0021950454688,16.66693730653478,1.002195045468799,0.0017890856666107756,11.0,90.20651075867637
TB,88.8,20.5,5321,313.0,23.0,23.0,32.0,20.0,7.3,7.3,26.001313197636243,30.111768573307035,32.38973008558262,30.5622009569378,23.92966360856269,23.061630218687874,24.8,28.6,30.8,30.1,18.4,20.5,16.0,15.998994722292034,15.998437906795104,17.001724562700172,17.000288433804442,17.0,6648.0,6366.0,6145.0,6901.0,5894.0,5321.0,415.5,397.9,384.1,405.9,346.7,313.0,95.2,95.1,94.9,98.4,76.9,88.8,88.8,88.03333333333335,11.899999999999991,-4.80000000000089,20.5,23.0,2.1000000000000014,-4.800000000000733,17.0,17.000670998834874,-0.00028843380444243394,-0.000862281350083957,8.2,77.85594508130984
WAS,93.6,19.4,5317,312.8,24.0,24.0,27.0,24.5,8.1,8.1,,,,,14.979001399906672,20.665829145728644,,,,,18.9,19.4,,,,,16.999697244928853,16.998081841432224,,,,,5615.0,5317.0,,,,,330.3,312.8,,,,,126.1,93.6,93.6,109.85,-32.5,,19.4,19.15,0.5,,16.998081841432224,16.99888954318054,-0.001615403496629142,,7.5,
PIT,118.2,17.9,5173,304.3,25.0,25.0,13.0,27.5,11.6,11.6,29.619377162629757,19.972356599861783,30.7920059215396,21.667719519898927,14.857694163048722,15.124378109452735,26.8,18.1,26.0,20.2,18.1,17.9,16.00049590875279,15.997109826589595,16.0011954572624,16.997463538363984,16.999380037197767,16.99967137693066,6453.0,4428.0,5354.0,5361.0,5484.0,5173.0,403.3,276.8,334.6,315.4,322.6,304.3,90.3,90.4,84.4,93.1,121.9,118.2,118.2,111.06666666666666,-3.700000000000003,12.550000000001917,17.9,18.73333333333333,-0.20000000000000284,-1.150000000000163,16.99967137693066,16.998838317497473,0.00029133973289319215,0.001103919283338049,11.3,94.44680194507927
DEN,106.5,21.0,5072,298.4,26.0,26.0,18.0,19.0,9.399999999999999,9.399999999999999,17.252228631358154,16.967509025270758,16.84045881126173,16.543209876543212,14.83204134366925,19.723756906077348,20.6,17.6,20.2,19.7,16.9,21.0,16.00114253070551,15.997990622906897,15.998212157330153,16.998487140695914,17.00092279298677,16.99731903485255,5602.0,4777.0,5369.0,5618.0,5527.0,5072.0,350.1,298.6,335.6,330.5,325.1,298.4,119.2,103.9,119.9,119.1,113.8,106.5,106.5,113.13333333333333,-7.299999999999997,-6.300000000000792,21.0,19.2,4.100000000000001,0.6500000000000299,16.99731903485255,16.998909656178412,-0.0036037581342220903,-0.0005840529216806623,14.4,91.08984206919698
LV,90.7,19.5,4922,289.5,27.0,27.0,30.0,23.0,5.1,5.1,,,22.65135699373695,23.12925170068027,19.184069936862556,21.530479896238653,,,27.1,22.0,23.2,19.5,,,16.000521784503,16.998350742166025,17.00141843971631,17.001727115716754,,,6133.0,6184.0,5993.0,4922.0,,,383.3,363.8,352.5,289.5,,,119.8,95.1,121.1,90.7,90.7,102.3,-30.39999999999999,-2.199999999999813,19.5,21.566666666666666,-3.6999999999999993,-1.2500000000001195,17.001727115716754,17.000498765866364,0.00030867600044359733,0.0016881867753659936,7.2,92.8533984409911
TEN,108.6,17.9,4913,289.0,28.0,28.0,17.0,27.5,8.3,8.3,15.323776569451312,18.083670715249664,18.25278810408922,17.42928452579035,13.984045049272641,16.522210184182015,19.4,25.1,30.7,24.6,17.5,17.9,15.998719590268887,16.000551267916208,16.001513622603433,16.9985401459854,16.997978436657682,17.0,4998.0,5805.0,6343.0,5822.0,5045.0,4913.0,312.4,362.8,396.4,342.5,296.8,289.0,126.4,138.9,168.1,141.4,125.4,108.6,108.6,125.13333333333333,-16.80000000000001,-16.40000000000211,17.9,20.0,0.3999999999999986,-3.3500000000004957,17.0,16.998839527547695,0.0020215633423177337,0.000729927007299618,9.7,83.71606108256768
NYG,110.2,15.6,4760,280.0,29.0,29.0,16.0,30.0,7.8999999999999995,7.8999999999999995,22.363636363636363,20.237388724035608,15.837104072398189,15.284360189573459,14.489876935291782,14.194236926360727,23.1,21.3,17.5,15.2,21.5,15.6,15.998315080033697,16.0,16.001335113484647,16.99965193177863,16.999101527403415,17.0,5697.0,5416.0,4794.0,4884.0,5676.0,4760.0,356.1,338.5,299.6,287.3,333.9,280.0,103.1,105.3,110.5,99.3,148.2,110.2,110.2,119.23333333333333,-37.999999999999986,5.450000000001426,15.6,17.433333333333334,-5.9,0.20000000000012674,17.0,16.999584486394014,0.0008984725965852647,0.0001740341106860377,8.600000000000001,83.47877278988302
NE,95.7,13.9,4696,276.2,30.0,30.0,26.0,31.5,4.199999999999999,4.199999999999999,21.404025527736867,24.662360540223137,13.895993179880648,21.478382147838214,20.08830022075055,14.505224339274738,27.3,26.3,20.4,27.2,21.4,13.9,16.001525165226234,16.0,15.997555759242285,17.000565930956423,16.999364272091544,17.00217233888487,6295.0,5664.0,5236.0,6008.0,5348.0,4696.0,393.4,354.0,327.3,353.4,314.6,276.2,127.3,106.4,146.6,126.5,106.6,95.7,95.7,109.60000000000001,-10.899999999999991,-15.400000000002064,13.9,20.833333333333332,-7.499999999999998,-6.650000000000844,17.00217233888487,17.000700847310945,0.0028080667933245707,0.0008032039642232149,3.7,73.86655782335592
NYJ,96.9,15.8,4566,268.6,31.0,31.0,22.5,29.0,4.55,4.55,20.530209617755858,21.957040572792362,14.43850267379679,18.596280743851228,17.556346381969156,16.272009714632667,20.8,17.3,15.2,18.2,17.4,15.8,15.99933155080214,16.0,16.002143622722404,16.99738903394256,16.99874292897549,16.999255398361875,4787.0,4368.0,4479.0,5208.0,5409.0,4566.0,299.2,273.0,279.9,306.4,318.2,268.6,101.4,78.6,105.2,98.1,99.2,96.9,96.9,98.06666666666668,-2.299999999999997,-0.6000000000000414,15.8,17.13333333333333,-1.5999999999999979,-1.2000000000001476,16.999255398361875,16.998462453759974,0.0005124693863862717,0.0009331822096571456,6.6,94.17640873653862
CAR,104.1,13.9,4510,265.3,32.0,32.0,20.0,31.5,4.6,4.6,17.60299625468165,18.69158878504673,20.539906103286384,16.503800217155266,15.701357466063348,13.340870548332392,23.5,21.3,21.9,17.9,20.4,13.9,15.997856951513528,16.000585137507315,16.0,16.998996319839414,17.001959503592424,16.99962306822465,5972.0,5469.0,5592.0,5081.0,5206.0,4510.0,373.3,341.8,349.5,298.9,306.2,265.3,133.5,113.7,106.5,108.4,130.0,104.1,104.1,114.16666666666667,-25.900000000000006,-2.149999999999889,13.9,17.4,-6.499999999999998,-2.0000000000001834,16.99962306822465,17.000192963885496,-0.002336435367773504,0.0003133741926176615,6.1,84.61458007259674
