draft_round,draft_pick,team,player,pos,age,year_max,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,draft_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,tackles_solo,def_int,sacks,college_id,college_link
1,23,Jacksonville Jaguars,Brian Thomas,WR,21,2024,0,1,1,11,11,17,0,0,0,0,0,6,48,0,87,1282,10,,,,LSU,College Stats
1,24,Detroit Lions,Terrion Arnold,DB,21,2024,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,47,,,Alabama,College Stats
1,25,Green Bay Packers,Jordan Morgan,OL,23,2024,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,College Stats
1,26,Tampa Bay Buccaneers,Graham Barton,OL,22,2024,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,,,,Duke,College Stats
1,27,Arizona Cardinals,Darius Robinson,DL,22,2024,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,,1.0,Missouri,College Stats
1,28,Kansas City Chiefs,Xavier Worthy,WR,21,2024,0,0,1,7,7,17,0,0,0,0,0,20,104,3,59,638,6,,,,Texas,College Stats
1,29,Dallas Cowboys,Tyler Guyton,OL,23,2024,0,0,1,4,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
1,30,Baltimore Ravens,Nate Wiggins,CB,21,2024,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,25,1,,Clemson,College Stats
1,31,San Francisco 49ers,Ricky Pearsall,WR,23,2024,0,0,0,3,3,11,0,1,0,0,0,3,45,0,31,400,3,,,,Florida,College Stats
1,32,Carolina Panthers,Xavier Legette,WR,23,2024,0,0,1,5,5,16,0,0,0,0,0,6,24,0,49,497,4,,,,South Carolina,College Stats
2,33,Buffalo Bills,Keon Coleman,WR,21,2024,0,0,1,7,7,13,0,0,0,0,0,1,9,0,29,556,4,,,,Florida St.,College Stats
